state,w,b
000010010000000000001020000000222200100030001000202000012000000001000001000010010,1,0
000100000000000000000211000000131001100100001000000001000100000000010000000010000,0,1
000000000100000000000100002001100001100000001102000000010301000000210000000111000,0,1
001000000010000010100020101002000300000002200000000000000001001010000010001000100,0,1
100001000002010000100000000000010000101132211001010201000000000002010000000011000,0,2
002110000000000001000200000001010000110031011000010021000001000000010000000110000,0,2
000001000000000000201200100000200001103000011000200001012000000000000000100100000,1,0
000111000000000000010002000102000001000002211000020001130020000000010000000111000,2,0
000010000000010000001200100102003000100000201001010000000000100001000000200010000,0,2
000110000000010000000020000001221001100000001002301000001000000000000100000010000,0,1
001010100000010000100020001000030000112202211000202000100020001000010000000111000,0,1
000111000000010000000020000100020100112202011000030101000000000000000020000111000,1,0
001000000012000000000101000000000101100230011000020000100002201010010000001010100,0,1
000111000000010000000002000100020001112232211100020001000020000000001000000111000,1,0
000111000000010000000020000100220001100032211100210000000000000000010000000011000,0,1
000111000000010000000020000100020001103102211100020001010020000002010000000011000,0,2
000011000000000200210000000020100011110130101100002100000000002000010000000011000,0,2
000111000000010000000020000120000001112232211100020001000020000000010000000111000,5,12
000111000000010000010002000100020001102230211101000000000020000000002100000111000,0,1
000011000000010000000020000100200001110132211001020001000020000002010000000111000,0,2
000110000001000100011000000000001000102201000000320001012000010000000100000000000,1,0
010000000001000010010020000003002000102200201100020000000002010000000100000100000,1,0
100001001000010000000022000000120200110000001002022000000020000030010001100001010,2,0
000111000000200100010020010100302001100002201100020001000120000000000100002011000,0,1
000111000010002000200000200100020001002200011100000000013020000000000101001011020,0,1
000111000000010000000000000102210000110232211100020001000020000000010000000111000,0,4
000000000012000020123101000001000100000001011100000000000000000000000000000000000,0,2
000011000000010000000020100102000000010031001000011000001000100020100000000001000,0,2
000110000000010000000020000001221001100002001002300000001000000000000100000011000,0,1
000110000000010000000020200100220001112032011000200001002001000000000100000110000,0,2
000000000000000000000110000001000100110000101001210100010301000000100000000010000,0,2
000101000000000000000210000013000001112202211100020001000020000000010000000111000,1,0
000111000000010000010020000100220001102302211100020001000120000000010000000011000,1,0
